date,platform,campaign_type,industry,country,impressions,clicks,CTR,CPC,spend,conversions,CPA,conversion_value,ROAS,primary_goal,kpis,offering,audience,funnel_stage,ctr,cpc,cpm,cvr,cpa,roas,aov
2024-01-21,Google Ads,Search,Fintech,UAE,59886,2113,0.0353,1.26,2662.38,159,16.74,4803.43,1.8,Maximize ROAS on credit card signups,"leads,cpl",Personal Loans,First-time investors,consideration,0.04,1.26,40.0,0.08,16.74,1.8,30.21
2024-01-22,TikTok Ads,Search,EdTech,UK,135608,5220,0.0385,1.18,6159.6,411,14.99,64126.68,10.41,Increase free trial signups,"impressions,reach",Language Learning Platform,Career changers,retention,0.04,1.18,50.0,0.08,14.99,10.41,156.03
2024-06-15,TikTok Ads,Video,Healthcare,USA,92313,5991,0.0649,0.85,5092.35,267,19.07,10489.07,2.06,Retarget previous site visitors,"conversions,cvr",Telemedicine App,Chronic pain sufferers,consideration,0.06,0.85,60.0,0.04,19.07,2.06,39.28
2024-01-02,TikTok Ads,Shopping,SaaS,Germany,83953,5935,0.0707,1.32,7834.2,296,26.47,50505.07,6.45,Increase annual plan upgrades,"revenue,roas",Video Editing Tool,Enterprise IT teams,conversion,0.07,1.32,90.0,0.05,26.47,6.45,170.63
2024-02-22,TikTok Ads,Search,Healthcare,UK,91807,4489,0.0489,1.93,8663.77,107,80.97,3369.53,0.39,Retarget previous site visitors,"bookings,cpa",Health Insurance Plan,Seniors over 65,retention,0.05,1.93,90.0,0.02,80.97,0.39,31.49
2024-08-14,Meta Ads,Video,Fintech,USA,118252,3748,0.0317,0.42,1574.16,152,10.36,12838.56,8.16,Reduce CPL for loan applications,"conversion_value,roas",Crypto Exchange,First-time investors,conversion,0.03,0.42,10.0,0.04,10.36,8.16,84.46
2024-04-05,TikTok Ads,Search,EdTech,UAE,92939,5176,0.0557,0.66,3416.16,388,8.8,96298.69,28.19,Scale awareness in new markets,"impressions,reach",K-12 Tutoring,High school students,retention,0.06,0.66,40.0,0.07,8.8,28.19,248.19
2024-04-17,Meta Ads,Display,EdTech,Germany,30939,937,0.0303,0.59,552.83,63,8.78,16531.03,29.9,Scale awareness in new markets,"leads,cpl",Language Learning Platform,HR managers,awareness,0.03,0.59,20.0,0.07,8.78,29.9,262.4
2024-04-22,Meta Ads,Video,E-commerce,UAE,98264,3144,0.032,1.56,4904.64,129,38.02,23127.27,4.72,Maximize ROAS for holiday sale,"revenue,roas",Smart Home Gadgets,Eco-conscious Gen Z,conversion,0.03,1.56,50.0,0.04,38.02,4.72,179.28
2024-09-11,Meta Ads,Video,Fintech,Canada,173229,5092,0.0294,1.72,8758.24,65,134.74,12320.17,1.41,Reduce CPL for loan applications,"installs,cpi",Personal Loans,Small business owners,conversion,0.03,1.72,50.0,0.01,134.74,1.41,189.54
2024-05-26,Meta Ads,Video,SaaS,Canada,147483,2138,0.0145,0.57,1218.66,159,7.66,42434.18,34.82,Drive demo requests,"revenue,roas",Project Management Platform,Freelancers,consideration,0.01,0.57,10.0,0.07,7.66,34.82,266.88
2024-02-29,Google Ads,Shopping,SaaS,USA,116472,4006,0.0344,2.68,10736.08,291,36.89,78428.38,7.31,Reduce churn by retargeting,"revenue,roas",Video Editing Tool,E-commerce store owners,awareness,0.03,2.68,90.0,0.07,36.89,7.31,269.51
2024-04-22,TikTok Ads,Shopping,EdTech,Canada,37711,2111,0.056,0.68,1435.48,92,15.6,13898.86,9.68,Increase free trial signups,"leads,cpl",Language Learning Platform,High school students,awareness,0.06,0.68,40.0,0.04,15.6,9.68,151.07
2024-10-15,TikTok Ads,Shopping,E-commerce,Germany,96412,7047,0.0731,1.11,7822.17,194,40.32,36717.43,4.69,Launch new product line,"conversion_value,cvr",Luxury Beauty Products,Early tech adopters,conversion,0.07,1.11,80.0,0.03,40.32,4.69,189.27
2024-08-13,TikTok Ads,Video,Fintech,Canada,184476,8854,0.048,0.35,3098.9,198,15.65,56216.92,18.14,Increase new app installs,"leads,cpl",Crypto Exchange,Tech-savvy millennials,consideration,0.05,0.35,20.0,0.02,15.65,18.14,283.92
2024-08-20,TikTok Ads,Search,Fintech,Germany,38828,3607,0.0929,0.97,3498.79,116,30.16,8788.51,2.51,Increase new app installs,"leads,cpl",Personal Loans,Tech-savvy millennials,awareness,0.09,0.97,90.0,0.03,30.16,2.51,75.76
2024-12-25,Meta Ads,Video,SaaS,Canada,187957,4586,0.0244,2.1,9630.6,271,35.54,34433.97,3.58,Reduce churn by retargeting,"demos,cpa",Project Management Platform,Freelancers,conversion,0.02,2.1,50.0,0.06,35.54,3.58,127.06
2024-11-01,Google Ads,Video,SaaS,Canada,34592,1615,0.0467,1.15,1857.25,116,16.01,4344.96,2.34,Increase annual plan upgrades,"leads,cpl",Cybersecurity Suite,Enterprise IT teams,retention,0.05,1.15,50.0,0.07,16.01,2.34,37.46
2024-07-04,Meta Ads,Shopping,Fintech,USA,185798,5889,0.0317,0.9,5300.1,400,13.25,41326.63,7.8,Maximize ROAS on credit card signups,"leads,cpl",Personal Loans,First-time investors,conversion,0.03,0.9,30.0,0.07,13.25,7.8,103.32
2024-12-30,TikTok Ads,Video,EdTech,India,194407,13122,0.0675,0.85,11153.7,379,29.43,56289.95,5.05,Scale awareness in new markets,"signups,cpa",Language Learning Platform,HR managers,consideration,0.07,0.85,60.0,0.03,29.43,5.05,148.52
2024-11-13,Google Ads,Search,SaaS,UAE,188062,8143,0.0433,1.8,14657.4,614,23.87,124232.5,8.48,Reduce churn by retargeting,"demos,cpa",Video Editing Tool,Enterprise IT teams,awareness,0.04,1.8,80.0,0.08,23.87,8.48,202.33
2024-12-14,Meta Ads,Shopping,Healthcare,India,195710,4481,0.0229,0.53,2374.93,352,6.75,27223.39,11.46,Retarget previous site visitors,"conversions,cvr",Health Insurance Plan,Chronic pain sufferers,awareness,0.02,0.53,10.0,0.08,6.75,11.46,77.34
2024-04-09,Google Ads,Display,Healthcare,Australia,198824,9046,0.0455,3.61,32656.06,407,80.24,71482.19,2.19,Improve acquisition efficiency,"conversions,cvr",Telemedicine App,New parents,consideration,0.05,3.61,160.0,0.04,80.24,2.19,175.63
2024-06-08,Meta Ads,Shopping,SaaS,USA,196962,5081,0.0258,2.06,10466.86,282,37.12,24196.95,2.31,Reduce churn by retargeting,"leads,cpl",Video Editing Tool,Enterprise IT teams,awareness,0.03,2.06,50.0,0.06,37.12,2.31,85.8
2024-08-29,Google Ads,Shopping,SaaS,UAE,105386,3783,0.0359,1.82,6885.06,130,52.96,36776.35,5.34,Drive demo requests,"revenue,roas",Project Management Platform,Enterprise IT teams,conversion,0.04,1.82,70.0,0.03,52.96,5.34,282.9
2024-09-05,Google Ads,Search,Healthcare,UAE,49425,1996,0.0404,1.27,2534.92,98,25.87,9253.27,3.65,Retarget previous site visitors,"bookings,cpa",Medical Device,New parents,retention,0.04,1.27,50.0,0.05,25.87,3.65,94.42
2024-12-26,Meta Ads,Video,E-commerce,Canada,191141,4453,0.0233,1.23,5477.19,72,76.07,8367.46,1.53,Clearance of old stock,"conversion_value,cvr",Luxury Beauty Products,Eco-conscious Gen Z,consideration,0.02,1.23,30.0,0.02,76.07,1.53,116.21
2024-05-23,TikTok Ads,Shopping,EdTech,Canada,91900,4696,0.0511,0.53,2488.88,367,6.78,109696.83,44.07,Increase free trial signups,"signups,cpa",K-12 Tutoring,Career changers,consideration,0.05,0.53,30.0,0.08,6.78,44.07,298.9
2024-11-26,Google Ads,Video,Healthcare,Canada,11801,795,0.0674,2.97,2361.15,57,41.42,3966.25,1.68,Improve acquisition efficiency,"conversions,cvr",Telemedicine App,Seniors over 65,retention,0.07,2.97,200.0,0.07,41.42,1.68,69.58
2024-11-16,Meta Ads,Display,Fintech,UAE,193926,5837,0.0301,1.0,5837.0,193,30.24,28429.29,4.87,Reduce CPL for loan applications,"installs,cpi",Personal Loans,First-time investors,consideration,0.03,1.0,30.0,0.03,30.24,4.87,147.3
2024-02-27,Google Ads,Display,EdTech,India,35355,961,0.0272,2.22,2133.42,68,31.37,6145.22,2.88,Improve lead quality for high-ticket courses,"leads,cpl",K-12 Tutoring,Career changers,consideration,0.03,2.22,60.0,0.07,31.37,2.88,90.37
2024-11-12,TikTok Ads,Shopping,Healthcare,UAE,133148,9120,0.0685,0.5,4560.0,279,16.34,83385.98,18.29,Retarget previous site visitors,"bookings,cpa",Telemedicine App,Seniors over 65,awareness,0.07,0.5,30.0,0.03,16.34,18.29,298.87
2024-01-12,Meta Ads,Video,E-commerce,Canada,104657,4029,0.0385,0.71,2860.59,204,14.02,10401.62,3.64,Clearance of old stock,"revenue,roas",Pet Subscription Box,Eco-conscious Gen Z,retention,0.04,0.71,30.0,0.05,14.02,3.64,50.99
2024-05-24,TikTok Ads,Shopping,Fintech,India,174160,9683,0.0556,1.84,17816.72,512,34.8,73177.92,4.11,Increase new app installs,"leads,cpl",Investment App,Tech-savvy millennials,awareness,0.06,1.84,100.0,0.05,34.8,4.11,142.93
2024-01-05,TikTok Ads,Display,Fintech,UAE,6015,410,0.0683,1.93,791.3,28,28.26,4383.32,5.54,Reduce CPL for loan applications,"leads,cpl",Investment App,First-time investors,awareness,0.07,1.93,130.0,0.07,28.26,5.54,156.55
2024-01-06,Meta Ads,Search,Healthcare,Australia,17763,726,0.0409,1.94,1408.44,30,46.95,1946.19,1.38,Retarget previous site visitors,"bookings,cpa",Medical Device,New parents,consideration,0.04,1.94,80.0,0.04,46.95,1.38,64.87
2024-10-14,TikTok Ads,Search,EdTech,India,97193,6230,0.0641,1.6,9968.0,306,32.58,81609.12,8.19,Improve lead quality for high-ticket courses,"impressions,reach",Professional Certifications,HR managers,conversion,0.06,1.6,100.0,0.05,32.58,8.19,266.7
2024-03-06,Meta Ads,Shopping,Healthcare,UAE,58682,1748,0.0298,1.49,2604.52,84,31.01,12746.65,4.89,Increase appointment bookings,"conversions,cvr",Wellness Supplement,New parents,retention,0.03,1.49,40.0,0.05,31.01,4.89,151.75
2024-03-21,TikTok Ads,Display,SaaS,Canada,108196,5334,0.0493,0.99,5280.66,289,18.27,27408.56,5.19,Drive demo requests,"revenue,roas",CRM Software,Freelancers,consideration,0.05,0.99,50.0,0.05,18.27,5.19,94.84
2024-08-20,Google Ads,Search,E-commerce,UAE,152979,4650,0.0304,0.79,3673.5,330,11.13,91949.73,25.03,Launch new product line,"sales,cpa",Pet Subscription Box,Eco-conscious Gen Z,retention,0.03,0.79,20.0,0.07,11.13,25.03,278.64
2024-01-08,Google Ads,Display,EdTech,USA,132600,6802,0.0513,1.53,10407.06,97,107.29,6779.29,0.65,Improve lead quality for high-ticket courses,"signups,cpa",Language Learning Platform,High school students,retention,0.05,1.53,80.0,0.01,107.29,0.65,69.89
2024-09-30,Google Ads,Video,Fintech,Australia,110977,4150,0.0374,1.13,4689.5,197,23.8,18314.78,3.91,Reduce CPL for loan applications,"conversion_value,roas",Crypto Exchange,First-time investors,conversion,0.04,1.13,40.0,0.05,23.8,3.91,92.97
2024-03-07,Google Ads,Search,EdTech,UK,87152,3599,0.0413,2.63,9465.37,127,74.53,25958.5,2.74,Scale awareness in new markets,"impressions,reach",Professional Certifications,High school students,conversion,0.04,2.63,110.0,0.04,74.53,2.74,204.4
2024-08-16,Meta Ads,Shopping,Fintech,UAE,164096,1919,0.0117,0.66,1266.54,139,9.11,7181.17,5.67,Increase new app installs,"conversion_value,roas",Crypto Exchange,First-time investors,awareness,0.01,0.66,10.0,0.07,9.11,5.67,51.66
2024-08-10,Meta Ads,Shopping,Healthcare,Germany,21389,941,0.044,0.8,752.8,46,16.37,8479.43,11.26,Retarget previous site visitors,"clicks,cpc",Wellness Supplement,Chronic pain sufferers,retention,0.04,0.8,40.0,0.05,16.37,11.26,184.34
2024-04-27,Google Ads,Shopping,Healthcare,India,69323,2169,0.0313,2.19,4750.11,94,50.53,16337.12,3.44,Retarget previous site visitors,"bookings,cpa",Telemedicine App,Seniors over 65,conversion,0.03,2.19,70.0,0.04,50.53,3.44,173.8
2024-05-17,Google Ads,Display,SaaS,UAE,138291,3318,0.024,0.83,2753.94,217,12.69,12761.51,4.63,Increase annual plan upgrades,"leads,cpl",CRM Software,E-commerce store owners,conversion,0.02,0.83,20.0,0.07,12.69,4.63,58.81
