date,platform,campaign_type,industry,country,impressions,clicks,CTR,CPC,spend,conversions,CPA,conversion_value,ROAS,primary_goal,kpis,offering,audience,funnel_stage
1/21/2024,Google Ads,Search,Fintech,UAE,59886,2113,0.0353,1.26,2662.38,159,16.74,4803.43,1.8,Maximize ROAS on credit card signups,"leads,cpl",Personal Loans,First-time investors,consideration
1/22/2024,TikTok Ads,Search,EdTech,UK,135608,5220,0.0385,1.18,6159.6,411,14.99,64126.68,10.41,Increase free trial signups,"impressions,reach",Language Learning Platform,Career changers,retention
6/15/2024,TikTok Ads,Video,Healthcare,USA,92313,5991,0.0649,0.85,5092.35,267,19.07,10489.07,2.06,Retarget previous site visitors,"conversions,cvr",Telemedicine App,Chronic pain sufferers,consideration
1/2/2024,TikTok Ads,Shopping,SaaS,Germany,83953,5935,0.0707,1.32,7834.2,296,26.47,50505.07,6.45,Increase annual plan upgrades,"revenue,roas",Video Editing Tool,Enterprise IT teams,conversion
2/22/2024,TikTok Ads,Search,Healthcare,UK,91807,4489,0.0489,1.93,8663.77,107,80.97,3369.53,0.39,Retarget previous site visitors,"bookings,cpa",Health Insurance Plan,Seniors over 65,retention
10/15/2024,TikTok Ads,Search,Fintech,Canada,17666,724,0.041,0.37,267.88,23,11.65,5220.85,19.49,Reduce CPL for loan applications,"leads,cpl",Personal Loans,Small business owners,retention
8/14/2024,Meta Ads,Video,Fintech,USA,118252,3748,0.0317,0.42,1574.16,152,10.36,12838.56,8.16,Reduce CPL for loan applications,"conversion_value,roas",Crypto Exchange,First-time investors,conversion
4/5/2024,TikTok Ads,Search,EdTech,UAE,92939,5176,0.0557,0.66,3416.16,388,8.8,96298.69,28.19,Scale awareness in new markets,"impressions,reach",K-12 Tutoring,High school students,retention
4/17/2024,Meta Ads,Display,EdTech,Germany,30939,937,0.0303,0.59,552.83,63,8.78,16531.03,29.9,Scale awareness in new markets,"leads,cpl",Language Learning Platform,HR managers,awareness
11/13/2024,Google Ads,Shopping,Fintech,USA,8748,362,0.0414,1.21,438.02,10,43.8,966.57,2.21,Increase new app installs,"installs,cpi",Crypto Exchange,First-time investors,awareness
4/22/2024,Meta Ads,Video,E-commerce,UAE,98264,3144,0.032,1.56,4904.64,129,38.02,23127.27,4.72,Maximize ROAS for holiday sale,"revenue,roas",Smart Home Gadgets,Eco-conscious Gen Z,conversion
9/11/2024,Meta Ads,Video,Fintech,Canada,173229,5092,0.0294,1.72,8758.24,65,134.74,12320.17,1.41,Reduce CPL for loan applications,"installs,cpi",Personal Loans,Small business owners,conversion
5/26/2024,Meta Ads,Video,SaaS,Canada,147483,2138,0.0145,0.57,1218.66,159,7.66,42434.18,34.82,Drive demo requests,"revenue,roas",Project Management Platform,Freelancers,consideration
2/29/2024,Google Ads,Shopping,SaaS,USA,116472,4006,0.0344,2.68,10736.08,291,36.89,78428.38,7.31,Reduce churn by retargeting,"revenue,roas",Video Editing Tool,E-commerce store owners,awareness
4/22/2024,TikTok Ads,Shopping,EdTech,Canada,37711,2111,0.056,0.68,1435.48,92,15.6,13898.86,9.68,Increase free trial signups,"leads,cpl",Language Learning Platform,High school students,awareness
10/15/2024,TikTok Ads,Shopping,E-commerce,Germany,96412,7047,0.0731,1.11,7822.17,194,40.32,36717.43,4.69,Launch new product line,"conversion_value,cvr",Luxury Beauty Products,Early tech adopters,conversion
8/13/2024,TikTok Ads,Video,Fintech,Canada,184476,8854,0.048,0.35,3098.9,198,15.65,56216.92,18.14,Increase new app installs,"leads,cpl",Crypto Exchange,Tech-savvy millennials,consideration
8/20/2024,TikTok Ads,Search,Fintech,Germany,38828,3607,0.0929,0.97,3498.79,116,30.16,8788.51,2.51,Increase new app installs,"leads,cpl",Personal Loans,Tech-savvy millennials,awareness
12/25/2024,Meta Ads,Video,SaaS,Canada,187957,4586,0.0244,2.1,9630.6,271,35.54,34433.97,3.58,Reduce churn by retargeting,"demos,cpa",Project Management Platform,Freelancers,conversion
11/1/2024,Google Ads,Video,SaaS,Canada,34592,1615,0.0467,1.15,1857.25,116,16.01,4344.96,2.34,Increase annual plan upgrades,"leads,cpl",Cybersecurity Suite,Enterprise IT teams,retention
