version,card_title,clarity,accuracy,structure,feasibility,overall
v1,Refocus Campaign Targeting,2,3,1,3,2.50
v1,Optimize for Cost per Acquisition,2,2,2,2,2.0
v1,Enhance Ad Messaging,2,3,2,2,2.25
v1,Increase Budget for High-Performing Segments,2,2,2,2,2.0
v1,Gather Missing Performance Metrics,2,2,1,2,2.0
v1,Monitor Conversion Quality,1,3,3,3,2.5
v2,Refocus Campaign Targeting,2,3,3,3,2.75
v2,Optimize for Cost per Acquisition,2,2,2,2,2.0
v2,Enhance Ad Messaging,3,3,2,2,2.25
v2,Increase Budget for High-Performing Segments,2,2,2,2,2.0
v2,Gather Missing Performance Metrics,2,2,2,2,2.0
v2,Monitor Conversion Quality,3,3,3,3,3
v3,Refocus Campaign Targeting,2,3,3,3,2.75
v3,Optimize for Cost per Acquisition,2,2,2,2,2.0
v3,Enhance Ad Messaging,2,3,2,2,2.25
v3,Increase Budget for High-Performing Segments,2,2,2,2,2.0
v3,Gather Missing Performance Metrics,2,2,2,2,2.0
v3,Monitor Conversion Quality,2,3,2,3,2.5
v3,Refocus Campaign Targeting,2,3,3,3,2.75
v3,Optimize for Cost per Acquisition,2,2,2,2,2.0
v3,Enhance Ad Messaging,2,3,2,2,2.25
v3,Increase Budget for High-Performing Segments,2,2,2,2,2.0
v3,Gather Missing Performance Metrics,2,2,2,2,2.0
v3,Monitor Conversion Quality,2,3,2,3,2.5
v4,Refocus Campaign Targeting,2,3,3,3,2.75
v4,Optimize for Cost per Acquisition,2,2,2,2,2.0
v4,Enhance Ad Messaging,2,3,2,2,2.25
v4,Increase Budget for High-Performing Segments,2,2,2,2,2.0
v4,Gather Missing Performance Metrics,2,2,2,2,2.0
v4,Monitor Conversion Quality,2,3,2,3,2.5
v5,Refocus Campaign Targeting,2,3,3,3,2.75
v5,Optimize for Cost per Acquisition,2,2,2,2,2.0
v5,Enhance Ad Messaging,2,3,2,2,2.25
v5,Increase Budget for High-Performing Segments,2,2,2,2,2.0
v5,Gather Missing Performance Metrics,2,2,2,2,2.0
v5,Monitor Conversion Quality,2,3,2,3,2.5
